uid,up_name,followers,n_videos,avg_play,med_play,std_play,avg_comment_scraped,med_comment_scraped,avg_danmaku,med_danmaku,avg_title_len,avg_desc_len,avg_length,std_length,danmaku_missing_rate,upload_freq,sentiment_mean_comment,sentiment_std_comment,sentiment_mean_danmaku,sentiment_std_danmaku,comment_topic_diversity,danmaku_topic_diversity,content_cohesion,comment_repetition,danmaku_repetition,comment_semantic_cohesion,danmaku_semantic_cohesion,pca_x,pca_y,cluster,label_binary
289169707,亨亨的产品变量,1312,20,814.95,398.0,1844.55624316813,2.15,0.0,0.65,0.0,21.75,141.55,272.35,231.26637068654500,0.75,2.083333333333330,0.6797140977063850,0.2964200936048510,0.6938468584647550,0.300323195230289,1.3863922386558700,1.73798344858705,0.5687389373779300,0.3720670391061450,0.5391304347826090,0.4929069578647610,0.5137636065483090,-1.982867040674290,-0.5096914070878990,0,0
300634025,滔搏电子竞技俱乐部,955088,20,179777.0,108248.5,191864.253423036,100.95,101.0,361.15,190.0,21.6,32.7,332.35,221.0551907746590,0.0,18.181818181818200,0.6366121117671410,0.2593622648211930,0.6648182973247470,0.2896636096734970,1.8052693791856000,0.5501314228217230,0.6524578928947450,0.3841164155541060,0.3477494608445610,0.5903424024581910,0.6156527996063230,-0.0427495482232146,-0.0511091927515905,3,1
345630501,黄龄,2664967,20,284492.95,67808.0,609237.6791634530,100.6,101.0,346.2,172.0,16.9,14.8,260.6,150.13096037512700,0.0,3.1088082901554400,0.7066071714805980,0.232384364947055,0.6652355659023390,0.3246874463063860,0.2830597446762240,0.8438173160594610,0.6388596892356870,0.4173323120691540,0.3878055996342220,0.5859164595603940,0.6326339244842530,-0.0696529850477155,-0.0159219763848851,3,1
345880241,好奇代码的三木,41410,20,1004.65,1001.5,195.51289498461000,3.55,3.0,0.15,0.0,73.85,112.0,469.2,98.895266237624,0.9,3.2258064516129000,0.7354158543994730,0.1885981359361840,0.7793183624744420,0.3020665324914640,1.7746439911114300,0.0,0.8626037836074830,0.6285883397454870,1.0,0.5961673855781560,0.8505355715751650,-2.671583048180760,-0.5903828086509290,0,0
347128576,ZeQAQ,1819,10,6315.85,3960.5,5331.976381625350,39.9,26.0,4.5,1.0,34.6,51.1,1858.4,605.562148577232,0.5,6.0,0.7095269025781920,0.2566385657243690,0.6531517712606320,0.2701714215748620,1.7579706818962500,1.6075684817583900,0.7537571787834170,0.3901981474967760,0.4595375722543350,0.5569165349006650,0.5511677861213680,-1.4085763103867200,-0.1800956877260080,0,0
352091301,陶喆的音乐产房,1007695,20,106745.05,82951.5,66679.48579465410,100.55,101.0,460.25,467.5,39.0,136.6,427.2,302.73048635448200,0.0,5.084745762711860,0.6840207749627590,0.2311159669415500,0.7165567365206380,0.255321025434759,0.3240204910709960,0.9671086491089530,0.7649737596511840,0.4171208334587940,0.4453845664482470,0.5878603458404540,0.6441895961761480,-0.0128211497867798,-0.0410395522123903,3,1
355804646,宅宅小霸王,174139,20,53394.4,39881.0,37364.0187098145,95.2,100.0,108.8,89.5,29.65,2.55,327.0,103.92152910021300,0.0,4.10958904109589,0.6774676080035950,0.2513103054189740,0.653422253941886,0.318583573337392,1.2691442327973700,0.0805287386946963,0.5969983339309690,0.394019547756524,0.3118349443587040,0.5224368572235110,0.5350937843322750,-0.2915412767683510,0.0028446736215247,3,1
383433896,教日语的阿飞老师,1275269,20,5068.2,3875.0,5031.699258856690,17.45,12.5,8.6,2.5,18.5,171.4,1934.75,1419.875453211150,0.4,9.523809523809520,0.694623513387404,0.2258738634803220,0.716097787325812,0.2241792593408880,1.5462801435281800,1.7867708786764500,0.8727031946182250,0.4579065700724460,0.451048951048951,0.6103830933570860,0.5183026790618900,-1.660752126557430,-0.1451340107817600,0,0
386112702,美芳Mia,10697,20,3980.85,3663.0,3704.188856089680,6.6,4.0,2.65,0.5,19.35,36.9,2050.2,2539.104931394440,0.5,0.99009900990099,0.7045690501955420,0.2602352685301260,0.7613225000084570,0.2782529376862590,1.6145295404059900,1.289932242806190,0.7137547135353090,0.413504189255791,0.4329004329004330,0.4979313313961030,0.5922383069992070,-1.7483033212080100,-0.1023226142351340,0,0
386917389,AI编程布道者-金角大王,197607,20,6581.75,1338.0,20063.34382026090,7.25,2.0,1.2,0.0,13.4,0.0,90.6,60.27952432320260,0.65,31.57894736842110,0.6466793360124370,0.2589444331415870,0.5451962137594820,0.3056029255087510,1.8505782283880000,1.8124322224367100,0.5508487224578860,0.3662227602905570,0.532051282051282,0.5380484461784360,0.6127309799194340,-1.8851064831249200,-0.5563878415420430,0,0
