uid,up_name,followers,label_binary,avg_comment_scraped,avg_danmaku,avg_length,avg_play,comment_repetition,danmaku_missing_rate,med_danmaku,med_play,std_length,upload_freq,model_prob_high,model_pred_label,confidence,shap_sum,shap_norm,value_score,score_percentile,score_bucket
435203110,村长托马斯,448852,1,100.95,1223.5,1118.35,368164.55,0.37634011090573,0.0,1196.5,304828.5,384.945693367396,2.0,0.68,1,0.68,0.17626774387595573,0.8689956331877725,77.44978165938863,58.396946564885496,Middle 60%
471303350,大狸子切切里,2665043,1,100.7,1137.55,652.1,560893.2,0.381133646583001,0.0,966.5,467205.5,236.966331163866,6.52173913043478,0.72,1,0.72,0.2162677438759559,0.9213973799126636,82.06986899563317,85.87786259541986,Top 20%
473837611,新华社,19370415,1,97.55,369.5,238.3,135772.1,0.387526719476927,0.0999999999999999,150.5,76355.0,343.795854357908,300.0,0.78,1,0.78,0.2762677438759561,1.0,89.0,100.0,Top 20%
477676711,田一名sir,2073655,1,100.9,227.15,41.15,1186953.75,0.445713110116752,0.0,120.0,505952.0,39.9674538646266,10.7142857142857,0.49666666666666665,0,0.5033333333333334,-0.0070655894573773,0.6288209606986899,56.60771470160116,34.73282442748092,Middle 60%
479659041,懂设计的产品人,27297,0,0.3,0.05,568.45,286.2,0.959183673469388,0.95,0.0,278.5,223.642213085285,28.5714285714286,0.4266666666666667,0,0.5733333333333333,-0.07706558945737745,0.5371179039301306,55.522561863173195,27.480916030534353,Middle 60%
479893558,郎朗,2099758,1,100.35,81.55,151.1,226757.4,0.477391683628962,0.0,56.5,51052.5,122.942391301566,3.65853658536585,0.66,1,0.66,0.1562677438759562,0.8427947598253276,75.13973799126639,50.38167938931297,Middle 60%
482867012,吴悠讲编程,70141,0,31.95,17.3,388.25,21351.15,0.355946927815511,0.0,19.0,19845.5,178.974527737741,2.14285714285714,0.38666666666666666,0,0.6133333333333333,-0.11706558945737731,0.48471615720524,54.90247452692867,22.137404580152673,Middle 60%
489678113,GAI周延,364910,1,100.9,723.6,386.85,608542.8,0.412459336369551,0.0,447.5,164277.5,337.991478403945,4.05405405405405,0.69,1,0.69,0.18626774387595588,0.8820960698689954,78.60480349344977,80.53435114503816,Top 20%
494293576,Bambulab拓竹科技,187084,1,72.3,23.7,66.65,135023.2,0.374071907483238,0.05,7.0,87460.0,116.743206722231,6.89655172413793,0.6066666666666667,1,0.6066666666666667,0.10293441054262273,0.7729257641921397,68.97962154294032,44.274809160305345,Middle 60%
501005668,黄霄雲,873594,1,100.85,439.85,361.2,239368.1,0.45545173631548,0.0,320.0,87578.0,185.582893948542,4.61538461538462,0.7033333333333334,1,0.7033333333333334,0.19960107720928913,0.8995633187772921,80.14483260553126,84.7328244274809,Top 20%
504573481,房磊AI新发现,26553,0,21.5,6.85,1080.7,9483.8,0.362043987883577,0.15,3.0,3280.5,506.830304830657,2.8436018957346,0.36666666666666664,0,0.6333333333333333,-0.13706558945737735,0.4585152838427945,54.59243085880638,15.267175572519085,Bottom 20%
517327498,罗翔说刑法,32325015,1,100.85,1267.55,611.3,1241759.75,0.336758893280632,0.0,1200.0,1219450.5,585.310992460194,3.72670807453416,0.68,1,0.68,0.17626774387595573,0.8689956331877725,77.44978165938863,58.396946564885496,Middle 60%
519872016,历史调研室,6780014,1,101.0,3143.45,2506.65,1995455.9,0.361147196962127,0.0,2947.5,1908580.0,355.320059575648,2.11267605633803,0.68,1,0.68,0.17626774387595573,0.8689956331877725,77.44978165938863,58.396946564885496,Middle 60%
520819684,小Lin说,6686211,1,100.95,3237.55,1395.3,4209689.1,0.383584810929366,0.0,3600.0,3380100.5,417.519882917663,2.4,0.68,1,0.68,0.17626774387595573,0.8689956331877725,77.44978165938863,58.396946564885496,Middle 60%
522976477,Eden说产品,6156,0,2.1,0.05,243.9,573.3,0.653153153153153,0.95,0.0,449.0,199.460298120493,12.5,0.4266666666666667,0,0.5733333333333333,-0.07706558945737745,0.5371179039301306,55.522561863173195,27.480916030534353,Middle 60%
523995133,林粒粒呀,548067,1,52.05,68.4,925.15,283240.95,0.349841166408732,0.2,30.0,45713.5,2610.23060636815,1.92307692307692,0.6066666666666667,1,0.6066666666666667,0.10293441054262262,0.7729257641921395,68.97962154294031,43.12977099236641,Middle 60%
544142239,黄子弘凡-Lars,1076238,1,90.1,336.65,225.9,228751.85,0.451065284265694,0.0999999999999999,256.5,147005.0,176.533551306379,3.57142857142857,0.6866666666666666,1,0.6866666666666666,0.18293441054262233,0.8777292576419209,78.21979621542938,73.66412213740458,Middle 60%
549737999,张真源的松果仓库,158424,0,4.75,2.2,283.8,1530.6,0.50713907985193,0.4,1.5,1246.5,557.684460868991,46.1538461538462,0.44666666666666666,0,0.5533333333333333,-0.057065589457377566,0.563318777292576,55.832605531295464,31.679389312977097,Middle 60%
597100476,Melissa职业规划,229726,0,87.2,254.95,667.25,165767.6,0.367899062206315,0.0,152.0,70539.5,385.147118166005,2.42914979757085,0.69,1,0.69,0.1862677438759557,0.882096069868995,78.60480349344975,77.48091603053436,Middle 60%
598341451,Nian的职场说,1807,0,7.45,1.0,1566.3,1948.15,0.342048710601719,0.75,0.0,738.5,421.66263641371904,3.59281437125749,0.36666666666666664,0,0.6333333333333333,-0.13706558945737735,0.4585152838427945,54.59243085880638,15.267175572519085,Bottom 20%
624243924,i-dle_official,2014382,1,91.5,448.6,399.45,68504.45,0.385302029836146,0.0,236.5,47530.0,365.635204311044,27.2727272727273,0.75,1,0.75,0.24626774387595607,0.9606986899563318,85.5349344978166,97.32824427480917,Top 20%
649831334,沈月本人,1996813,1,100.95,1350.0,434.05,1544022.85,0.423921642493878,0.0,1200.0,1325540.5,181.517137077003,0.950871632329636,0.68,1,0.68,0.17626774387595573,0.8689956331877725,77.44978165938863,58.396946564885496,Middle 60%
663528522,三更草堂,58278,0,78.05,68.5,22321.9,121135.75,0.388553789384048,0.0999999999999999,24.5,31425.0,22113.4699481418,0.337837837837838,0.5466666666666666,1,0.5466666666666666,0.042934410542622564,0.6943231441048032,62.049490538573494,37.404580152671755,Middle 60%
677063300,T1-Faker,1178498,1,100.75,513.05,608.45,329750.45,0.400052657753854,0.0,380.5,271424.5,355.699233534235,1.08303249097473,0.6833333333333333,1,0.6833333333333333,0.179601077209289,0.8733624454148465,77.83478893740899,66.03053435114504,Middle 60%
